source,destination,avg_distance,weekday,hour,icon,predict
Boston University,Back Bay,1.572266759,Monday,0,fog,1
Boston University,Back Bay,1.572266759,Monday,0,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Monday,0,clear-day,1
Boston University,Back Bay,1.572266759,Monday,0,rain,1
Boston University,Back Bay,1.572266759,Monday,0,cloudy,1
Boston University,Back Bay,1.572266759,Monday,1,fog,1
Boston University,Back Bay,1.572266759,Monday,1,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Monday,1,clear-day,1
Boston University,Back Bay,1.572266759,Monday,1,rain,3
Boston University,Back Bay,1.572266759,Monday,1,cloudy,1
Boston University,Back Bay,1.572266759,Monday,2,fog,1
Boston University,Back Bay,1.572266759,Monday,2,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Monday,2,clear-day,1
Boston University,Back Bay,1.572266759,Monday,2,rain,1
Boston University,Back Bay,1.572266759,Monday,2,cloudy,1
Boston University,Back Bay,1.572266759,Monday,3,fog,1
Boston University,Back Bay,1.572266759,Monday,3,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Monday,3,clear-day,1
Boston University,Back Bay,1.572266759,Monday,3,rain,1
Boston University,Back Bay,1.572266759,Monday,3,cloudy,1
Boston University,Back Bay,1.572266759,Monday,4,fog,1
Boston University,Back Bay,1.572266759,Monday,4,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Monday,4,clear-day,1
Boston University,Back Bay,1.572266759,Monday,4,rain,1
Boston University,Back Bay,1.572266759,Monday,4,cloudy,1
Boston University,Back Bay,1.572266759,Monday,5,fog,1
Boston University,Back Bay,1.572266759,Monday,5,partly-cloudy-day,1
Boston University,Back Bay,1.572266759,Monday,5,clear-day,1
Boston University,Back Bay,1.572266759,Monday,5,rain,1
Boston University,Back Bay,1.572266759,Monday,5,cloudy,1
Boston University,Back Bay,1.572266759,Monday,6,fog,2
Boston University,Back Bay,1.572266759,Monday,6,partly-cloudy-day,2
